id,utctime,energy,denergy,theta,phi,ra,dec,risetime,drisetime,multiplicity
PAO191110,1573399408,166,13,58.6,224.4,128.9,-52,98,3,34
PAO070114,1168768186,165,13,14.2,85.6,192.9,-21.2,438,16,16
PAO141021,1413885674,155,12,6.8,204.6,102.9,-37.8,363,11,13
PAO200611,1591895321,155,12,18.9,312.3,107.2,-47.6,360,16,12
PAO180812,1534096475,146,12,47.9,141.7,125,-0.6,169,7,24
PAO080925,1222307719,140,11,49.8,140.5,287.8,1.5,172,6,24
PAO190428,1556436334,133,11,14.8,327.3,275,-42.1,316,5,13
PAO171228,1514425553,132,10,41.7,329.5,107.8,-44.7,246,7,19
PAO140306,1394114269,131,10,58.5,47.3,340.6,12,92,2,22
PAO050705,1120579594,127,10,57.3,155.7,45.8,-1.7,106,2,20
PAO150825,1440460829,125,10,20.1,313.9,284.8,-48,334,11,16
PAO080118,1200700649,124,10,50.3,178.9,352.5,-20.8,170,4,24
PAO160127,1453874568,122,10,22.6,345.3,175.6,-37.7,298,19,14
PAO160121,1453381745,122,10,13.7,180.2,231.5,-34,295,6,13
PAO110127,1296108817,116,9,24.9,90.9,150,-10.4,318,13,14
PAO160309,1457496302,115,9,23.7,108.7,151.5,-12.6,330,5,15
PAO150926,1443266386,113,14,77.2,188,21.7,-13.8,,,75
PAO161024,1477276760,111,9,49.5,104.5,352.1,13.2,190,7,20
PAO200306,1583535647,110,9,41.4,339.4,133.6,-38.3,234,9,18
PAO180624,1529810463,110,9,42.7,4.3,300,-22.6,228,6,16
PAO111228,1325034337,108,9,47.4,248.3,344.1,-71.5,161,8,24
PAO190303,1551609400,108,9,48.6,246.7,185.9,-70.7,175,9,17
PAO150523,1432416422,107,9,39.2,220.2,83.1,-51.1,279,6,19
PAO181203,1543812862,107,9,12.5,138.4,65.8,-26.3,309,5,14
PAO141225,1419543426,107,8,45.1,145.6,313.3,-4.5,233,7,19
PAO150327,1427462822,106,8,28.2,54.1,333.7,-11,326,56,14
PAO140422,1398131239,106,8,15.5,100.9,164.6,-20.1,359,11,11
PAO151201,1448953110,105,8,47.7,308,169.9,-59.8,188,8,21
PAO120321,1332350782,104,8,47.4,241.7,309.2,-66.7,211,7,20
PAO200313,1584120052,104,12,65.1,282.4,133.3,-75.1,,,38
PAO200127,1580092842,103,8,1.4,306.3,98.1,-36.1,359,12,11
