      Input ;         Obje;     RA     ;    Dec     ;Redshift 
M31         ;MESSIER 031  ;00h42m44.35s;+41d16m08.7s;-0.000991
M81         ;MESSIER 081  ;09h55m33.17s;+69d03m55.1s;-0.000130
NGC524      ;NGC 0524     ;01h24m47.75s;+09d32m20.0s; 0.008016
NGC821      ;NGC 0821     ;02h08m21.15s;+10d59m41.9s; 0.005787
NGC1023     ;NGC 1023     ;02h40m24.01s;+39d03m47.9s; 0.002121
NGC1194     ;NGC 1194     ;03h03m49.10s;-01d06m13.4s; 0.013631
NGC1277     ;NGC 1277     ;03h19m51.49s;+41d34m24.9s; 0.016749
NGC2549     ;NGC 2549     ;08h18m58.37s;+57d48m11.1s; 0.003506
NGC3115     ;NGC 3115     ;10h05m13.98s;-07d43m06.9s; 0.002287
NGC3245     ;NGC 3245     ;10h27m18.39s;+28d30m26.6s; 0.004423
NGC3585     ;NGC 3585     ;11h13m17.11s;-26d45m17.5s; 0.004783
NGC3998     ;NGC 3998     ;11h57m56.13s;+55d27m12.9s; 0.003401
NGC4026     ;NGC 4026     ;11h59m25.10s;+50d57m42.0s; 0.003289
NGC4258     ;MESSIER 106  ;12h18m57.50s;+47d18m14.3s; 0.001538
NGC4342     ;NGC 4342     ;12h23m38.99s;+07d03m14.4s; 0.002538
NGC4526     ;NGC 4526     ;12h34m03.03s;+07d41m56.9s; 0.002058
NGC4564     ;NGC 4564     ;12h36m26.99s;+11d26m21.3s; 0.003809
NGC4594     ;MESSIER 104  ;12h39m59.43s;-11d37m23.1s; 0.003633
NGC7457     ;NGC 7457     ;23h00m59.91s;+30d08m41.9s; 0.002815
Milky Way   ;             ;            ;            ;         
ESO 97-G13  ;Circinus Gala;14h13m09.96s;-65d20m20.7s; 0.001448
NGC1068     ;MESSIER 077  ;02h42m40.70s;-00d00m47.8s; 0.003793
NGC1300     ;NGC 1300     ;03h19m41.03s;-19d24m40.1s; 0.005264
NGC2273     ;NGC 2273     ;06h50m08.65s;+60d50m44.9s; 0.006138
NGC2748     ;NGC 2748     ;09h13m43.00s;+76d28m31.4s; 0.004923
NGC2787     ;NGC 2787     ;09h19m18.62s;+69d12m11.6s; 0.002322
NGC3227     ;NGC 3227     ;10h23m30.57s;+19d51m54.3s; 0.003756
NGC3368     ;MESSIER 096  ;10h46m45.68s;+11d49m12.0s; 0.002962
NGC3384     ;NGC 3384     ;10h48m16.90s;+12d37m45.5s; 0.002348
NGC3393     ;NGC 3393     ;10h48m23.46s;-25d09m43.4s; 0.012786
NGC3489     ;NGC 3489     ;11h00m18.55s;+13d54m04.3s; 0.002258
NGC3945     ;NGC 3945     ;11h53m13.63s;+60d40m32.3s; 0.004273
NGC4388     ;NGC 4388     ;12h25m46.78s;+12d39m43.8s; 0.008419
NGC4736     ;MESSIER 094  ;12h50m53.06s;+41d07m13.6s; 0.001027
NGC4826     ;MESSIER 064  ;12h56m43.67s;+21d40m58.8s; 0.001364
NGC4945     ;NGC 4945     ;13h05m27.45s;-49d28m04.9s; 0.001878
NGC6264     ;NGC 6264     ;16h57m16.13s;+27d50m58.6s; 0.033840
NGC6323     ;NGC 6323     ;17h13m18.06s;+43d46m56.9s; 0.025667
